timestep,vehicle id,position,carbon emission,service rate
61.0,truck0,-81016194#21,0.0,0.75
61.0,truck1,-81163819#10,0.0,0.75
61.0,truck2,-685069351#5,0.0,0.75
62.0,truck0,-81016194#21,0.0,0.75
62.0,truck1,-81163819#10,0.0,0.75
62.0,truck2,-685069351#5,0.0,0.75
63.0,truck0,-81016194#21,0.0,0.75
63.0,truck1,-81163819#10,0.0,0.75
63.0,truck2,-685069351#5,0.0,0.75
64.0,truck0,-81016194#21,0.0,0.75
64.0,truck1,-81163819#10,0.0,0.75
64.0,truck2,-685069351#5,0.0,0.75
65.0,truck0,-81016194#21,0.0,0.75
65.0,truck1,-81163819#10,0.0,0.75
65.0,truck2,-685069351#5,0.0,0.75
66.0,truck0,-81016194#21,0.0,0.75
66.0,truck1,-81163819#10,0.0,0.75
66.0,truck2,-685069351#5,0.0,0.75
67.0,truck0,-81016194#21,0.0,0.75
67.0,truck1,-81163819#10,0.0,0.75
67.0,truck2,-685069351#5,0.0,0.75
68.0,truck0,-81016194#21,0.0,0.75
68.0,truck1,-81163819#10,0.0,0.75
68.0,truck2,-685069351#5,0.0,0.75
69.0,truck0,-81016194#21,0.0,0.75
69.0,truck1,-81163819#10,0.0,0.75
69.0,truck2,-685069351#5,0.0,0.75
70.0,truck0,-81016194#21,0.0,0.75
70.0,truck1,-81163819#10,0.0,0.75
70.0,truck2,-685069351#5,0.0,0.75
71.0,truck0,-81016194#21,0.0,0.75
71.0,truck1,-81163819#10,0.0,0.75
71.0,truck2,-685069351#5,0.0,0.75
72.0,truck0,-81016194#21,0.0,0.75
72.0,truck1,-81163819#10,0.0,0.75
72.0,truck2,-685069351#5,0.0,0.75
73.0,truck0,-81016194#21,0.0,0.75
73.0,truck1,-81163819#10,0.0,0.75
73.0,truck2,-685069351#5,0.0,0.75
74.0,truck0,-81016194#21,0.0,0.75
74.0,truck1,-81163819#10,0.0,0.75
74.0,truck2,-685069351#5,0.0,0.75
75.0,truck0,-81016194#21,0.0,0.75
75.0,truck1,-81163819#10,0.0,0.75
75.0,truck2,-685069351#5,0.0,0.75
76.0,truck0,-81016194#21,0.0,0.75
76.0,truck1,-81163819#10,0.0,0.75
76.0,truck2,-685069351#5,0.0,0.75
77.0,truck0,-81016194#21,0.0,0.75
77.0,truck1,-81163819#10,0.0,0.75
77.0,truck2,-685069351#5,0.0,0.75
78.0,truck0,-81016194#21,0.0,0.75
78.0,truck1,-81163819#10,0.0,0.75
78.0,truck2,-685069351#5,0.0,0.75
79.0,truck0,-81016194#21,0.0,0.75
79.0,truck1,-81163819#10,0.0,0.75
79.0,truck2,-685069351#5,0.0,0.75
80.0,truck0,-81016194#21,0.0,0.75
80.0,truck1,-81163819#10,0.0,0.75
80.0,truck2,-685069351#5,0.0,0.75
81.0,truck0,-81016194#21,0.0,0.75
81.0,truck1,-81163819#10,0.0,0.75
81.0,truck2,-685069351#5,0.0,0.75
82.0,truck0,-81016194#21,0.0,0.75
82.0,truck1,-81163819#10,0.0,0.75
82.0,truck2,-685069351#5,0.0,0.75
83.0,truck0,-81016194#21,0.0,0.75
83.0,truck1,-81163819#10,0.0,0.75
83.0,truck2,-685069351#5,0.0,0.75
84.0,truck0,-81016194#21,0.0,0.75
84.0,truck1,-81163819#10,0.0,0.75
84.0,truck2,-685069351#5,0.0,0.75
85.0,truck0,-81016194#21,0.0,0.75
85.0,truck1,-81163819#10,0.0,0.75
85.0,truck2,-685069351#5,0.0,0.75
86.0,truck0,-81016194#21,0.0,0.75
